# MYSS master list — реальные люди для постепенного обогащения контентом.
# Поля фактические и проверяемые: имя, роль, страна, годы жизни.
# Профиль публикуется только после наполнения курса и проверки источников.
# slug	name	role	country	region	era	categories	birthYear	deathYear
steve-jobs	Стив Джобс	Сооснователь Apple	США	Северная Америка	contemporary	technology,entrepreneurship,design	1955	2011
elon-musk	Илон Маск	Предприниматель, основатель SpaceX и Tesla	США	Северная Америка	contemporary	entrepreneurship,technology,innovation	1971	
jeff-bezos	Джефф Безос	Основатель Amazon	США	Северная Америка	contemporary	business,entrepreneurship,strategy	1964	
bill-gates	Билл Гейтс	Сооснователь Microsoft	США	Северная Америка	contemporary	technology,business,entrepreneurship	1955	
warren-buffett	Уоррен Баффет	Инвестор, глава Berkshire Hathaway	США	Северная Америка	contemporary	finance,business,strategy	1930	
charlie-munger	Чарли Мангер	Инвестор, вице-председатель Berkshire Hathaway	США	Северная Америка	contemporary	finance,thought,strategy	1924	2023
ray-dalio	Рэй Далио	Основатель Bridgewater Associates	США	Северная Америка	contemporary	finance,strategy	1949	
peter-thiel	Питер Тиль	Инвестор, сооснователь PayPal	США	Северная Америка	contemporary	finance,entrepreneurship,strategy	1967	
reid-hoffman	Рид Хоффман	Сооснователь LinkedIn, инвестор	США	Северная Америка	contemporary	entrepreneurship,technology	1967	
marc-andreessen	Марк Андриссен	Создатель Netscape, венчурный инвестор	США	Северная Америка	contemporary	technology,finance	1971	
paul-graham	Пол Грэм	Сооснователь Y Combinator, эссеист	США	Северная Америка	contemporary	entrepreneurship,technology,thought	1964	
sam-altman	Сэм Альтман	Предприниматель, руководитель OpenAI	США	Северная Америка	contemporary	technology,entrepreneurship	1985	
jensen-huang	Дженсен Хуанг	Основатель NVIDIA	США	Северная Америка	contemporary	technology,business	1963	
satya-nadella	Сатья Наделла	Глава Microsoft	США	Северная Америка	contemporary	business,technology	1967	
tim-cook	Тим Кук	Глава Apple	США	Северная Америка	contemporary	business,strategy	1960	
andy-grove	Энди Гроув	Глава Intel, автор «High Output Management»	США	Северная Америка	contemporary	business,strategy,technology	1936	2016
gordon-moore	Гордон Мур	Сооснователь Intel	США	Северная Америка	contemporary	technology,science	1929	2023
robert-noyce	Роберт Нойс	Сооснователь Intel, соавтор интегральной схемы	США	Северная Америка	contemporary	technology,innovation	1927	1990
steve-wozniak	Стив Возняк	Сооснователь Apple, инженер	США	Северная Америка	contemporary	technology,innovation	1950	
larry-page	Ларри Пейдж	Сооснователь Google	США	Северная Америка	contemporary	technology,entrepreneurship	1973	
sergey-brin	Сергей Брин	Сооснователь Google	США	Северная Америка	contemporary	technology,entrepreneurship	1973	
eric-schmidt	Эрик Шмидт	Руководитель Google	США	Северная Америка	contemporary	business,technology	1955	
sheryl-sandberg	Шерил Сэндберг	Операционный директор Facebook	США	Северная Америка	contemporary	business,media	1969	
mark-zuckerberg	Марк Цукерберг	Основатель Facebook	США	Северная Америка	contemporary	technology,entrepreneurship	1984	
reed-hastings	Рид Хастингс	Сооснователь Netflix	США	Северная Америка	contemporary	business,media,strategy	1960	
brian-chesky	Брайан Чески	Сооснователь Airbnb	США	Северная Америка	contemporary	entrepreneurship,design	1981	
travis-kalanick	Трэвис Каланик	Сооснователь Uber	США	Северная Америка	contemporary	entrepreneurship,business	1976	
jack-dorsey	Джек Дорси	Сооснователь Twitter и Square	США	Северная Америка	contemporary	technology,entrepreneurship	1976	
evan-spiegel	Эван Шпигель	Сооснователь Snap	США	Северная Америка	contemporary	entrepreneurship,media	1990	
drew-houston	Дрю Хьюстон	Основатель Dropbox	США	Северная Америка	contemporary	entrepreneurship,technology	1983	
patrick-collison	Патрик Коллисон	Сооснователь Stripe	Ирландия	Западная Европа	contemporary	entrepreneurship,technology	1988	
